i94cit,i94cit_label,i94cit_continent,i94cit_global_region
324,ANGOLA,AFRICA,SOUTH
386,BENIN,AFRICA,SOUTH
336,BOTSWANA,AFRICA,SOUTH
393,BURKINA FASO,AFRICA,SOUTH
375,BURUNDI,AFRICA,SOUTH
310,CAMEROON,AFRICA,SOUTH
326,CAPE VERDE,AFRICA,SOUTH
383,CENTRAL AFRICAN REPUBLIC,AFRICA,SOUTH
384,CHAD,AFRICA,SOUTH
385,CONGO,AFRICA,SOUTH
399,EQUATORIAL GUINEA,AFRICA,SOUTH
372,ERITREA,AFRICA,SOUTH
369,ETHIOPIA,AFRICA,SOUTH
387,GABON,AFRICA,SOUTH
338,GAMBIA,AFRICA,SOUTH
339,GHANA,AFRICA,SOUTH
382,GUINEA,AFRICA,SOUTH
327,GUINEA-BISSAU,AFRICA,SOUTH
388,IVORY COAST,AFRICA,SOUTH
340,KENYA,AFRICA,SOUTH
335,LESOTHO,AFRICA,SOUTH
370,LIBERIA,AFRICA,SOUTH
320,MADAGASCAR,AFRICA,SOUTH
345,MALAWI,AFRICA,SOUTH
392,MALI,AFRICA,SOUTH
342,MAURITIUS,AFRICA,SOUTH
760,MAYOTTE,AFRICA,SOUTH
329,MOZAMBIQUE,AFRICA,SOUTH
371,NAMIBIA,AFRICA,SOUTH
390,NIGER,AFRICA,SOUTH
343,NIGERIA,AFRICA,SOUTH
748,SOUTH SUDAN,AFRICA,SOUTH
376,RWANDA,AFRICA,SOUTH
330,SAO TOME AND PRINCIPE,AFRICA,SOUTH
391,SENEGAL,AFRICA,SOUTH
347,SEYCHELLES,AFRICA,SOUTH
348,SIERRA LEONE,AFRICA,SOUTH
373,SOUTH AFRICA,AFRICA,SOUTH
346,SAINT HELENA,AFRICA,SOUTH
351,SWAZILAND,AFRICA,SOUTH
353,"TANZANIA, UNITED REPUBLIC OF",AFRICA,SOUTH
304,TOGO,AFRICA,SOUTH
352,UGANDA,AFRICA,SOUTH
333,WESTERN SAHARA,AFRICA,SOUTH
301,ZAIRE,AFRICA,SOUTH
344,ZAMBIA,AFRICA,SOUTH
315,ZIMBABWE,AFRICA,SOUTH
316,ALGERIA,AFRICA,SOUTH
298,BAHRAIN,ASIA,SOUTH
317,COMOROS,AFRICA,SOUTH
322,DJIBOUTI,AFRICA,SOUTH
389,MAURITANIA,AFRICA,SOUTH
332,MOROCCO,AFRICA,SOUTH
397,SOMALIA,AFRICA,SOUTH
350,SUDAN,AFRICA,SOUTH
323,TUNISIA,AFRICA,SOUTH
236,AFGHANISTAN,ASIA,SOUTH
438,AUSTRALIA,OCEANIA,NORTH
152,AZERBAIJAN,ASIA,NORTH
274,BANGLADESH,ASIA,SOUTH
242,BHUTAN,ASIA,SOUTH
217,BRUNEI DARUSSALAM,ASIA,SOUTH
243,MYANMAR,ASIA,SOUTH
245,CHINA,ASIA,SOUTH
270,CHRISTMAS ISLAND,OCEANIA,SOUTH
271,COCOS ISLANDS,OCEANIA,SOUTH
467,COOK ISLANDS,OCEANIA,SOUTH
240,TIMOR-LESTE,ASIA,SOUTH
413,FIJI,OCEANIA,SOUTH
411,FRENCH POLYNESIA,OCEANIA,SOUTH
726,HEARD ISLAND AND MCDONALD ISLANDS,OCEANIA,SOUTH
206,HONG KONG,ASIA,SOUTH
213,INDIA,ASIA,SOUTH
759,FRENCH SOUTHERN TERRITORIES,AFRICA,SOUTH
729,BRITISH INDIAN OCEAN TERRITORY,AFRICA,SOUTH
204,INDONESIA,ASIA,SOUTH
209,JAPAN,ASIA,NORTH
201,KAMPUCHEA,ASIA,SOUTH
155,KAZAKHSTAN,ASIA,NORTH
414,KIRIBATI,OCEANIA,SOUTH
156,KYRGYZSTAN,ASIA,SOUTH
203,LAOS,ASIA,SOUTH
214,MACAU,ASIA,SOUTH
273,MALAYSIA,ASIA,SOUTH
220,MALDIVES,ASIA,SOUTH
472,MARSHALL ISLANDS,OCEANIA,SOUTH
473,"MICRONESIA, FEDERATED STATES OF",OCEANIA,SOUTH
299,MONGOLIA,ASIA,SOUTH
440,NAURU,OCEANIA,SOUTH
257,NEPAL,ASIA,SOUTH
409,NEW CALEDONIA,OCEANIA,SOUTH
464,NEW ZEALAND,OCEANIA,NORTH
470,NIUE,OCEANIA,SOUTH
275,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",ASIA,SOUTH
258,PAKISTAN,ASIA,SOUTH
474,PALAU,OCEANIA,SOUTH
441,PAPUA NEW GUINEA,OCEANIA,SOUTH
260,PHILIPPINES,ASIA,SOUTH
416,PITCAIRN ISLANDS,OCEANIA,SOUTH
321,REUNION,AFRICA,SOUTH
207,SINGAPORE,ASIA,NORTH
412,SOLOMON ISLANDS,OCEANIA,SOUTH
276,"KOREA, REPUBLIC OF",ASIA,NORTH
244,SRI LANKA,ASIA,SOUTH
262,SYRIAN ARAB REPUBLIC,ASIA,SOUTH
268,TAIWAN,ASIA,NORTH
159,TAJIKISTAN,ASIA,SOUTH
263,THAILAND,ASIA,SOUTH
417,TONGA,OCEANIA,SOUTH
161,TURKMENISTAN,ASIA,SOUTH
420,TUVALU,OCEANIA,SOUTH
163,UZBEKISTAN,ASIA,SOUTH
410,VANUATU,OCEANIA,SOUTH
266,VIETNAM,ASIA,SOUTH
469,WALLIS AND FUTUNA,OCEANIA,SOUTH
465,SAMOA,OCEANIA,SOUTH
101,ALBANIA,EUROPE,NORTH
102,ANDORRA,EUROPE,NORTH
151,ARMENIA,ASIA,NORTH
103,AUSTRIA,EUROPE,NORTH
104,BELGIUM,EUROPE,NORTH
153,BELARUS,EUROPE,NORTH
164,BOSNIA AND HERZEGOVINA,EUROPE,NORTH
105,BULGARIA,EUROPE,NORTH
165,CROATIA,EUROPE,NORTH
218,CYPRUS,ASIA,NORTH
140,CZECH REPUBLIC,EUROPE,NORTH
723,FAROE ISLANDS,EUROPE,NORTH
108,DENMARK,EUROPE,NORTH
109,ESTONIA,EUROPE,NORTH
110,FINLAND,EUROPE,NORTH
111,FRANCE,EUROPE,NORTH
154,GEORGIA,ASIA,NORTH
112,GERMANY,EUROPE,NORTH
143,GIBRALTAR,EUROPE,NORTH
113,GREECE,EUROPE,NORTH
149,HOLY SEE (VATICAN CITY STATE),EUROPE,NORTH
114,HUNGARY,EUROPE,NORTH
115,ICELAND,EUROPE,NORTH
116,IRELAND,EUROPE,NORTH
251,ISRAEL,ASIA,NORTH
117,ITALY,EUROPE,NORTH
732,KOSOVO,EUROPE,NORTH
118,LATVIA,EUROPE,NORTH
119,LIECHTENSTEIN,EUROPE,NORTH
120,LITHUANIA,EUROPE,NORTH
121,LUXEMBOURG,EUROPE,NORTH
167,MACEDONIA,EUROPE,NORTH
145,MALTA,EUROPE,NORTH
157,"MOLDOVA, REPUBLIC OF",EUROPE,NORTH
122,MONACO,EUROPE,NORTH
735,MONTENEGRO,EUROPE,NORTH
123,NETHERLANDS,EUROPE,NORTH
124,NORWAY,EUROPE,NORTH
107,POLAND,EUROPE,NORTH
126,PORTUGAL,EUROPE,NORTH
127,ROMANIA,EUROPE,NORTH
158,RUSSIAN FEDERATION,EUROPE,NORTH
128,SAN MARINO,EUROPE,NORTH
142,SERBIA,EUROPE,NORTH
745,SERBIA,EUROPE,NORTH
141,SLOVAKIA,EUROPE,NORTH
166,SLOVENIA,EUROPE,NORTH
129,SPAIN,EUROPE,NORTH
130,SWEDEN,EUROPE,NORTH
131,SWITZERLAND,EUROPE,NORTH
264,TURKEY,ASIA,NORTH
162,UKRAINE,EUROPE,NORTH
135,UNITED KINGDOM,EUROPE,NORTH
139,YUGOSLAVIA,EUROPE,SOUTH
403,INVALID: AMERICAN SAMOA,INVALID,INVALID
712,INVALID: ANTARCTICA,INVALID,INVALID
