i94port,i94port_name,i94port_state,i94port_relevant
SAI,SAIPAN,SPN,IRRELEVANT
XXX,NOT REPORTED/UNKNOWN,,IRRELEVANT
888,UNIDENTIFED AIR / SEAPORT,,IRRELEVANT
UNK,UNKNOWN POE,,IRRELEVANT
CLG,CALGARY,CANADA,IRRELEVANT
EDA,EDMONTON,CANADA,IRRELEVANT
YHC,HAKAI PASS,CANADA,IRRELEVANT
HAL,Halifax  NS,CANADA,IRRELEVANT
MON,MONTREAL,CANADA,IRRELEVANT
OTT,OTTAWA,CANADA,IRRELEVANT
YXE,SASKATOON,CANADA,IRRELEVANT
TOR,TORONTO,CANADA,IRRELEVANT
VCV,VANCOUVER,CANADA,IRRELEVANT
VIC,VICTORIA,CANADA,IRRELEVANT
WIN,WINNIPEG,CANADA,IRRELEVANT
AMS,AMSTERDAM-SCHIPHOL,NETHERLANDS,IRRELEVANT
ARB,ARUBA,NETH ANTILLES,IRRELEVANT
BAN,BANKOK,THAILAND,IRRELEVANT
BEI,BEICA #ARPT,ETHIOPIA,IRRELEVANT
PEK,BEIJING CAPITAL INTL,PRC,IRRELEVANT
BDA,KINDLEY FIELD,BERMUDA,IRRELEVANT
BOG,BOGOTA  EL DORADO #ARPT,COLOMBIA,IRRELEVANT
EZE,BUENOS AIRES  MINISTRO PIST,ARGENTINA,IRRELEVANT
CUN,CANCUN,MEXICO,IRRELEVANT
CRQ,CARAVELAS  BA #ARPT,BRAZIL,IRRELEVANT
MVD,CARRASCO,URUGUAY,IRRELEVANT
DUB,DUBLIN,IRELAND,IRRELEVANT
FOU,FOUGAMOU #ARPT,GABON,IRRELEVANT
FBA,FREEPORT,BAHAMAS,IRRELEVANT
MTY,GEN M. ESCOBEDO  Monterrey,MX,IRRELEVANT
HMO,GEN PESQUEIRA GARCIA,MX,IRRELEVANT
GCM,GRAND CAYMAN,CAYMAN ISLAND,IRRELEVANT
GDL,GUADALAJARA  MIGUEL HIDAL,MX,IRRELEVANT
HAM,HAMILTON,BERMUDA,IRRELEVANT
ICN,INCHON,SEOUL KOREA,IRRELEVANT
IWA,INVALID - IWAKUNI,JAPAN,IRRELEVANT
CND,KOGALNICEANU,ROMANIA,IRRELEVANT
LAH,LABUHA ARPT,INDONESIA,IRRELEVANT
DUR,LOUIS BOTHA,SOUTH AFRICA,IRRELEVANT
MAL,MANGOLE ARPT,INDONESIA,IRRELEVANT
MDE,MEDELLIN,COLOMBIA,IRRELEVANT
MEX,JUAREZ INTL  MEXICO CITY,MX,IRRELEVANT
LHR,MIDDLESEX,ENGLAND,IRRELEVANT
NBO,NAIROBI,KENYA,IRRELEVANT
NAS,NASSAU,BAHAMAS,IRRELEVANT
NCA,NORTH CAICOS,TURK & CAIMAN,IRRELEVANT
PTY,OMAR TORRIJOS,PANAMA,IRRELEVANT
SPV,PAPUA,NEW GUINEA,IRRELEVANT
UIO,QUITO (MARISCAL SUCR),ECUADOR,IRRELEVANT
RIT,ROME,ITALY,IRRELEVANT
SNO,SAKON NAKHON #ARPT,THAILAND,IRRELEVANT
SLP,SAN LUIS POTOSI #ARPT,MEXICO,IRRELEVANT
SAN,SAN SALVADOR,EL SALVADOR,IRRELEVANT
SRO,SANTANA RAMOS #ARPT,COLOMBIA,IRRELEVANT
GRU,GUARULHOS INTL  SAO PAULO,BRAZIL,IRRELEVANT
SHA,SHANNON,IRELAND,IRRELEVANT
HIL,SHILLAVO,ETHIOPIA,IRRELEVANT
TOK,TOROKINA #ARPT ,PAPUA NEW GUINEA,IRRELEVANT
VER,VERACRUZ,MEXICO,IRRELEVANT
LGW,WEST SUSSEX,ENGLAND,IRRELEVANT
ZZZ,MEXICO Land (Banco de Mexico),,IRRELEVANT
CHN,No PORT Code (CHN),,IRRELEVANT
MAA,Abu Dhabi,,IRRELEVANT
FRG,Collapsed (FOK) 06/15,,IRRELEVANT
HRL,Collapsed (HLG) 06/15,,IRRELEVANT
ISP,Collapsed (FOK) 06/15,,IRRELEVANT
JSJ,Collapsed (SAJ) 06/15,,IRRELEVANT
BUS,Collapsed (BUF) 06/15,,IRRELEVANT
IAG,Collapsed (NIA) 06/15,,IRRELEVANT
PHN,Collapsed (PHU) 06/15,,IRRELEVANT
STN,Collapsed (STR) 06/15,,IRRELEVANT
VMB,Collapsed (VNB) 06/15,,IRRELEVANT
T01,Collapsed (SEA) 06/15,,IRRELEVANT
PHF,No PORT Code (PHF),,IRRELEVANT
DRV,No PORT Code (DRV),,IRRELEVANT
FTB,No PORT Code (FTB),,IRRELEVANT
GAC,No PORT Code (GAC),,IRRELEVANT
GMT,No PORT Code (GMT),,IRRELEVANT
JFA,No PORT Code (JFA),,IRRELEVANT
JMZ,No PORT Code (JMZ),,IRRELEVANT
NC8,No PORT Code (NC8),,IRRELEVANT
NYL,No PORT Code (NYL),,IRRELEVANT
OAI,No PORT Code (OAI),,IRRELEVANT
PCW,No PORT Code (PCW),,IRRELEVANT
WA5,No PORT Code (WAS),,IRRELEVANT
WTR,No PORT Code (WTR),,IRRELEVANT
X96,No PORT Code (X96),,IRRELEVANT
XNA,No PORT Code (XNA),,IRRELEVANT
YGF,No PORT Code (YGF),,IRRELEVANT
5T6,No PORT Code (5T6),,IRRELEVANT
60,No PORT Code (60),,IRRELEVANT
SP0,No PORT Code (SP0),,IRRELEVANT
W55,No PORT Code (W55),,IRRELEVANT
X44,No PORT Code (X44),,IRRELEVANT
AUH,No PORT Code (AUH),,IRRELEVANT
RYY,No PORT Code (RYY),,IRRELEVANT
SUS,No PORT Code (SUS),,IRRELEVANT
74S,No PORT Code (74S),,IRRELEVANT
ATW,No PORT Code (ATW),,IRRELEVANT
CPX,No PORT Code (CPX),,IRRELEVANT
MTH,No PORT Code (MTH),,IRRELEVANT
PFN,No PORT Code (PFN),,IRRELEVANT
SCH,No PORT Code (SCH),,IRRELEVANT
ASI,No PORT Code (ASI),,IRRELEVANT
BKF,No PORT Code (BKF),,IRRELEVANT
DAY,No PORT Code (DAY),,IRRELEVANT
Y62,No PORT Code (Y62),,IRRELEVANT
AG,No PORT Code (AG),,IRRELEVANT
BCM,No PORT Code (BCM),,IRRELEVANT
DEC,No PORT Code (DEC),,IRRELEVANT
PLB,No PORT Code (PLB),,IRRELEVANT
CXO,No PORT Code (CXO),,IRRELEVANT
JBQ,No PORT Code (JBQ),,IRRELEVANT
JIG,No PORT Code (JIG),,IRRELEVANT
OGS,No PORT Code (OGS),,IRRELEVANT
TIW,No PORT Code (TIW),,IRRELEVANT
OTS,No PORT Code (OTS),,IRRELEVANT
AMT,No PORT Code (AMT),,IRRELEVANT
EGE,No PORT Code (EGE),,IRRELEVANT
GPI,No PORT Code (GPI),,IRRELEVANT
NGL,No PORT Code (NGL),,IRRELEVANT
OLM,No PORT Code (OLM),,IRRELEVANT
.GA,No PORT Code (.GA),,IRRELEVANT
CLX,No PORT Code (CLX),,IRRELEVANT
CP,No PORT Code (CP),,IRRELEVANT
FSC,No PORT Code (FSC),,IRRELEVANT
NK,No PORT Code (NK),,IRRELEVANT
ADU,No PORT Code (ADU),,IRRELEVANT
AKT,No PORT Code (AKT),,IRRELEVANT
LIT,No PORT Code (LIT),,IRRELEVANT
A2A,No PORT Code (A2A),,IRRELEVANT
OSN,No PORT Code (OSN),,IRRELEVANT
ALC,ALCAN,AK,RELEVANT
ANC,ANCHORAGE,AK,RELEVANT
BAR,BAKER ISLAND,AK,RELEVANT
DAC,DALTONS CACHE,AK,RELEVANT
PIZ,POINT LAY,AK,RELEVANT
DTH,DUTCH HARBOR,AK,RELEVANT
EGL,EAGLE,AK,RELEVANT
FRB,FAIRBANKS,AK,RELEVANT
HOM,HOMER,AK,RELEVANT
HYD,HYDER,AK,RELEVANT
JUN,JUNEAU,AK,RELEVANT
5KE,KETCHIKAN,AK,RELEVANT
KET,KETCHIKAN,AK,RELEVANT
MOS,MOSES POINT,AK,RELEVANT
NIK,NIKISKI,AK,RELEVANT
NOM,NOM,AK,RELEVANT
PKC,POKER CREEK,AK,RELEVANT
ORI,PORT LIONS,AK,RELEVANT
SKA,SKAGWAY,AK,RELEVANT
SNP,SAINT PAUL ISLAND,AK,RELEVANT
TKI,TOKEEN,AK,RELEVANT
WRA,WRANGELL,AK,RELEVANT
HSV,HUNTSVILLE,AL,RELEVANT
MOB,MOBILE,AL,RELEVANT
LIA,LITTLE ROCK,AR,RELEVANT
ROG,ROGERS,AR,RELEVANT
DOU,DOUGLAS,AZ,RELEVANT
LUK,LUKEVILLE,AZ,RELEVANT
MAP,MARIPOSA,AZ,RELEVANT
NAC,NACO,AZ,RELEVANT
NOG,NOGALES,AZ,RELEVANT
PHO,PHOENIX,AZ,RELEVANT
POR,PORTAL,AZ,RELEVANT
SLU,SAN LUIS,AZ,RELEVANT
SAS,SASABE,AZ,RELEVANT
TUC,TUCSON,AZ,RELEVANT
YUI,YUMA,AZ,RELEVANT
AND,ANDRADE,CA,RELEVANT
BUR,BURBANK,CA,RELEVANT
CAL,CALEXICO,CA,RELEVANT
CAO,CAMPO,CA,RELEVANT
FRE,FRESNO,CA,RELEVANT
ICP,IMPERIAL COUNTY,CA,RELEVANT
LNB,LONG BEACH,CA,RELEVANT
LOS,LOS ANGELES,CA,RELEVANT
BFL,BAKERSFIELD,CA,RELEVANT
OAK,OAKLAND,CA,RELEVANT
ONT,ONTARIO,CA,RELEVANT
OTM,OTAY MESA,CA,RELEVANT
BLT,PACIFIC  HIGHWAY STATION,CA,RELEVANT
PSP,PALM SPRINGS,CA,RELEVANT
SAC,SACRAMENTO,CA,RELEVANT
SLS,SALINAS,CA,RELEVANT
SDP,SAN DIEGO,CA,RELEVANT
SFR,SAN FRANCISCO,CA,RELEVANT
SNJ,SAN JOSE,CA,RELEVANT
SLO,SAN LUIS OBISPO,CA,RELEVANT
SLI,SAN LUIS OBISPO,CA,RELEVANT
SPC,SAN PEDRO,CA,RELEVANT
SYS,SAN YSIDRO,CA,RELEVANT
SAA,SANTA ANA,CA,RELEVANT
STO,STOCKTON,CA,RELEVANT
TEC,TECATE,CA,RELEVANT
TRV,TRAVIS,CA,RELEVANT
APA,ARAPAHOE COUNTY,CO,RELEVANT
ASE,ASPEN,CO,RELEVANT
COS,COLORADO SPRINGS,CO,RELEVANT
DEN,DENVER,CO,RELEVANT
DRO,DURANGO,CO,RELEVANT
BDL,WINDSOR LOCKS,CT,RELEVANT
BGC,BRIDGEPORT,CT,RELEVANT
GRT,GROTON,CT,RELEVANT
HAR,HARTFORD,CT,RELEVANT
NWH,NEW HAVEN,CT,RELEVANT
NWL,NEW LONDON,CT,RELEVANT
TST,NEWINGTON,CT,RELEVANT
WAS,WASHINGTON,DC,RELEVANT
DOV,DOVER,DE,RELEVANT
DVD,DOVER,DE,RELEVANT
WLL,WILMINGTON,DE,RELEVANT
BOC,BOCAGRANDE,FL,RELEVANT
SRQ,SARASOTA,FL,RELEVANT
CAN,CAPE CANAVERAL,FL,RELEVANT
DAB,DAYTONA BEACH,FL,RELEVANT
FRN,FERNANDINA,FL,RELEVANT
FTL,FORT LAUDERDALE,FL,RELEVANT
FMY,FORT MYERS,FL,RELEVANT
FPF,FORT PIERCE,FL,RELEVANT
HUR,HURLBURT FIELD,FL,RELEVANT
GNV,GAINESVILLE,FL,RELEVANT
JAC,JACKSONVILLE,FL,RELEVANT
KEY,KEY WEST,FL,RELEVANT
LEE,LEESBURG,FL,RELEVANT
MLB,MELBOURNE,FL,RELEVANT
MIA,MIAMI,FL,RELEVANT
APF,NAPLES,FL,RELEVANT
OPF,OPA LOCKA,FL,RELEVANT
ORL,ORLANDO,FL,RELEVANT
PAN,PANAMA CITY,FL,RELEVANT
PEN,PENSACOLA,FL,RELEVANT
PCF,PORT CANAVERAL,FL,RELEVANT
PEV,PORT EVERGLADES,FL,RELEVANT
PSJ,PORT ST JOE,FL,RELEVANT
SFB,SANFORD,FL,RELEVANT
SGJ,SAINT AUGUSTINE,FL,RELEVANT
SAU,SAINT AUGUSTINE,FL,RELEVANT
FPR,SAINT LUCIE COUNTY,FL,RELEVANT
SPE,SAINT PETERSBURG,FL,RELEVANT
TAM,TAMPA,FL,RELEVANT
WPB,WEST PALM BEACH,FL,RELEVANT
ATL,ATLANTA,GA,RELEVANT
BRU,BRUNSWICK,GA,RELEVANT
AGS,AUGUSTA,GA,RELEVANT
SAV,SAVANNAH,GA,RELEVANT
AGA,AGANA,GU,RELEVANT
HHW,HONOLULU,HI,RELEVANT
OGG,KAHULUI,HI,RELEVANT
KOA,KEAHOLE,HI,RELEVANT
LIH,LIHUE,HI,RELEVANT
CID,CEDAR RAPIDS,IA,RELEVANT
DSM,DES MOINES,IA,RELEVANT
BOI,AIR TERM. (GOWEN FLD) BOISE,ID,RELEVANT
EPI,EASTPORT,ID,RELEVANT
IDA,FANNING FIELD - IDAHO FALLS,ID,RELEVANT
PTL,PORTHILL,ID,RELEVANT
SPI,CAPITAL - SPRINGFIELD,IL,RELEVANT
CHI,CHICAGO,IL,RELEVANT
DPA,DUPAGE COUNTY,IL,RELEVANT
PIA,GREATER PEORIA,IL,RELEVANT
RFD,GREATER ROCKFORD,IL,RELEVANT
UGN,MEMORIAL - WAUKEGAN,IL,RELEVANT
GAR,GARY,IN,RELEVANT
HMM,HAMMOND,IN,RELEVANT
INP,INDIANAPOLIS,IN,RELEVANT
MRL,MERRILLVILLE,IN,RELEVANT
SBN,SOUTH BEND,IN,RELEVANT
ICT,MID-CONTINENT - WITCHITA,KS,RELEVANT
LEX,BLUE GRASS - LEXINGTON,KY,RELEVANT
LOU,LOUISVILLE,KY,RELEVANT
BTN,BATON ROUGE,LA,RELEVANT
LKC,LAKE CHARLES,LA,RELEVANT
LAK,LAKE CHARLES,LA,RELEVANT
MLU,MONROE,LA,RELEVANT
MGC,MORGAN CITY,LA,RELEVANT
NOL,NEW ORLEANS,LA,RELEVANT
BOS,BOSTON,MA,RELEVANT
GLO,GLOUCESTER,MA,RELEVANT
BED,HANSCOM FIELD - BEDFORD,MA,RELEVANT
LYN,LYNDEN,WA,RELEVANT
ADW,ANDREWS AFB,MD,RELEVANT
BAL,BALTIMORE,MD,RELEVANT
MKG,MUSKEGON,MD,RELEVANT
PAX,PATUXENT RIVER,MD,RELEVANT
BGM,BANGOR,ME,RELEVANT
BOO,BOOTHBAY HARBOR,ME,RELEVANT
BWM,BRIDGEWATER,ME,RELEVANT
BCK,BUCKPORT,ME,RELEVANT
CLS,CALAIS,ME,RELEVANT
CRB,CARIBOU,ME,RELEVANT
COB,COBURN GORE,ME,RELEVANT
EST,EASTCOURT,ME,RELEVANT
EPT,EASTPORT MUNICIPAL,ME,RELEVANT
EPM,EASTPORT,ME,RELEVANT
FOR,FOREST CITY,ME,RELEVANT
FTF,FORT FAIRFIELD,ME,RELEVANT
FTK,FORT KENT,ME,RELEVANT
HML,HAMIIN,ME,RELEVANT
HTM,HOULTON,ME,RELEVANT
JKM,JACKMAN,ME,RELEVANT
KAL,KALISPEL,MT,RELEVANT
LIM,LIMESTONE,ME,RELEVANT
LUB,LUBEC,ME,RELEVANT
MAD,MADAWASKA,ME,RELEVANT
POM,PORTLAND,ME,RELEVANT
RGM,RANGELEY,ME,RELEVANT
SBR,SOUTH BREWER,ME,RELEVANT
SRL,ST AURELIE,ME,RELEVANT
SPA,ST PAMPILE,ME,RELEVANT
VNB,VAN BUREN,ME,RELEVANT
VCB,VANCEBORO,ME,RELEVANT
AGN,ALGONAC,MI,RELEVANT
ALP,ALPENA,MI,RELEVANT
BCY,BAY CITY,MI,RELEVANT
DET,DETROIT,MI,RELEVANT
GRP,GRAND RAPIDS,MI,RELEVANT
GRO,GROSSE ISLE,MI,RELEVANT
ISL,ISLE ROYALE,MI,RELEVANT
MRC,MARINE CITY,MI,RELEVANT
MRY,MARYSVILLE,MI,RELEVANT
PTK,OAKLAND COUNTY - PONTIAC,MI,RELEVANT
PHU,PORT HURON,MI,RELEVANT
RBT,ROBERTS LANDING,MI,RELEVANT
SAG,SAGINAW,MI,RELEVANT
SSM,SAULT STE. MARIE,MI,RELEVANT
SCL,ST CLAIR,MI,RELEVANT
YIP,WILLOW RUN - YPSILANTI,MI,RELEVANT
BAU,BAUDETTE,MN,RELEVANT
CAR,CARIBOU MUNICIPAL AIRPORT,MN,RELEVANT
GTF,Collapsed into INT,MN,RELEVANT
INL,Collapsed into INT,MN,RELEVANT
CRA,CRANE LAKE,MN,RELEVANT
MIC,CRYSTAL MUNICIPAL AIRPORT,MN,RELEVANT
DUL,DULUTH,MN,RELEVANT
ELY,ELY,MN,RELEVANT
GPM,GRAND PORTAGE,MN,RELEVANT
